#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Mon Nov 29 13:40:58 EST 2021,9,9,LogicalSuite,ClassRegistryProvided+ LoadLispChecker+ MainClassProvided+ NotChecker+ TestLispFileProvided+ VariableArgumentOrChecker+ , ,BasicAndChecker+ BasicOrChecker+ VariableArgumentAndChecker+ ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicLetTest CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker ProjectStructureOrganizesEvaluators QuoteChecker TimesGeneratorChecker ,0,0,true,BasicAndChecker BasicOrChecker NotChecker VariableArgumentAndChecker VariableArgumentOrChecker ,ClassRegistryProvided LoadLispChecker MainClassProvided TestLispFileProvided ,VariableArgumentAndChecker VariableArgumentOrChecker ,BasicAndChecker-(0.0/10.0) BasicOrChecker-(0.0/10.0) NotChecker-(10.0/10.0) VariableArgumentAndChecker-(0.0/10.0) VariableArgumentOrChecker-(10.0/10.0) , ,
0,Mon Nov 29 13:40:58 EST 2021,9,9,LogicalSuite,ClassRegistryProvided+ LoadLispChecker+ MainClassProvided+ NotChecker+ TestLispFileProvided+ VariableArgumentOrChecker+ , ,BasicAndChecker+ BasicOrChecker+ VariableArgumentAndChecker+ ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicLetTest CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker ProjectStructureOrganizesEvaluators QuoteChecker TimesGeneratorChecker ,0,0,true,BasicAndChecker BasicOrChecker NotChecker VariableArgumentAndChecker VariableArgumentOrChecker ,ClassRegistryProvided LoadLispChecker MainClassProvided TestLispFileProvided ,VariableArgumentAndChecker VariableArgumentOrChecker ,BasicAndChecker-(0.0/10.0) BasicOrChecker-(0.0/10.0) NotChecker-(10.0/10.0) VariableArgumentAndChecker-(0.0/10.0) VariableArgumentOrChecker-(10.0/10.0) , ,
1,Mon Nov 29 13:54:42 EST 2021,9,0,LispToStringSuite,ClassRegistryProvided LoadLispChecker MainClassProvided NotChecker TestLispFileProvided VariableArgumentOrChecker , ,BasicAndChecker BasicOrChecker LispIsListChecker+ LispIsListChecker2+ LispIsListChecker3+ LispIsListChecker4+ LispToStringChecker+ LispToStringChecker2+ LispToStringChecker3+ LispToStringChecker4+ VariableArgumentAndChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicLetTest CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker ProjectStructureOrganizesEvaluators QuoteChecker TimesGeneratorChecker ,1,0,true,LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLispChecker TestLispFileProvided ,ClassRegistryProvided MainClassProvided ,LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLispChecker TestLispFileProvided ,LispIsListChecker-(0.0/15.0) LispIsListChecker2-(0.0/15.0) LispIsListChecker3-(0.0/15.0) LispIsListChecker4-(0.0/15.0) LispToStringChecker-(0.0/15.0) LispToStringChecker2-(0.0/15.0) LispToStringChecker3-(0.0/15.0) LispToStringChecker4-(0.0/15.0) LoadLispChecker-(0.0/0.0) TestLispFileProvided-(0.0/0.0) , ,
1,Mon Nov 29 13:54:42 EST 2021,9,0,LispToStringSuite,ClassRegistryProvided LoadLispChecker MainClassProvided NotChecker TestLispFileProvided VariableArgumentOrChecker , ,BasicAndChecker BasicOrChecker LispIsListChecker+ LispIsListChecker2+ LispIsListChecker3+ LispIsListChecker4+ LispToStringChecker+ LispToStringChecker2+ LispToStringChecker3+ LispToStringChecker4+ VariableArgumentAndChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6ExtraCondChecker A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicLetTest CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut EvalChecker F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker ProjectStructureOrganizesEvaluators QuoteChecker TimesGeneratorChecker ,1,0,true,LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLispChecker TestLispFileProvided ,ClassRegistryProvided MainClassProvided ,LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLispChecker TestLispFileProvided ,LispIsListChecker-(0.0/15.0) LispIsListChecker2-(0.0/15.0) LispIsListChecker3-(0.0/15.0) LispIsListChecker4-(0.0/15.0) LispToStringChecker-(0.0/15.0) LispToStringChecker2-(0.0/15.0) LispToStringChecker3-(0.0/15.0) LispToStringChecker4-(0.0/15.0) LoadLispChecker-(0.0/0.0) TestLispFileProvided-(0.0/0.0) , ,
2,Mon Nov 29 13:55:11 EST 2021,11,2,A6BasicOperationSuite,ClassRegistryProvided CondChecker+ LoadLispChecker MainClassProvided NotChecker TestLispFileProvided VariableArgumentOrChecker , ,A6ExtraCondChecker+ BasicAndChecker BasicOrChecker CombinationChecker+ EvalChecker+ LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker+ ListChecker2+ QuoteChecker+ VariableArgumentAndChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker ProjectStructureOrganizesEvaluators TimesGeneratorChecker ,1,1,true,A6ExtraCondChecker CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 QuoteChecker , ,A6ExtraCondChecker ,A6ExtraCondChecker-(0.0/10.0) CombinationChecker-(0.0/10.0) CondChecker-(10.0/10.0) EvalChecker-(0.0/10.0) ListChecker-(0.0/10.0) ListChecker2-(0.0/10.0) QuoteChecker-(0.0/10.0) , ,
2,Mon Nov 29 13:55:11 EST 2021,11,2,A6BasicOperationSuite,ClassRegistryProvided CondChecker+ LoadLispChecker MainClassProvided NotChecker TestLispFileProvided VariableArgumentOrChecker , ,A6ExtraCondChecker+ BasicAndChecker BasicOrChecker CombinationChecker+ EvalChecker+ LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker+ ListChecker2+ QuoteChecker+ VariableArgumentAndChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker ProjectStructureOrganizesEvaluators TimesGeneratorChecker ,1,1,true,A6ExtraCondChecker CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 QuoteChecker , ,A6ExtraCondChecker ,A6ExtraCondChecker-(0.0/10.0) CombinationChecker-(0.0/10.0) CondChecker-(10.0/10.0) EvalChecker-(0.0/10.0) ListChecker-(0.0/10.0) ListChecker2-(0.0/10.0) QuoteChecker-(0.0/10.0) , ,
3,Mon Nov 29 13:58:17 EST 2021,11,0,A6BasicOperationSuite,ClassRegistryProvided CondChecker LoadLispChecker MainClassProvided NotChecker TestLispFileProvided VariableArgumentOrChecker , ,A6ExtraCondChecker BasicAndChecker BasicOrChecker CombinationChecker EvalChecker LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 QuoteChecker VariableArgumentAndChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker ProjectStructureOrganizesEvaluators TimesGeneratorChecker ,1,2,true,A6ExtraCondChecker CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 QuoteChecker , ,A6ExtraCondChecker ,A6ExtraCondChecker-(0.0/10.0) CombinationChecker-(0.0/10.0) CondChecker-(10.0/10.0) EvalChecker-(0.0/10.0) ListChecker-(0.0/10.0) ListChecker2-(0.0/10.0) QuoteChecker-(0.0/10.0) , ,
3,Mon Nov 29 13:58:17 EST 2021,11,0,A6BasicOperationSuite,ClassRegistryProvided CondChecker LoadLispChecker MainClassProvided NotChecker TestLispFileProvided VariableArgumentOrChecker , ,A6ExtraCondChecker BasicAndChecker BasicOrChecker CombinationChecker EvalChecker LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 QuoteChecker VariableArgumentAndChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker ProjectStructureOrganizesEvaluators TimesGeneratorChecker ,1,2,true,A6ExtraCondChecker CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 QuoteChecker , ,A6ExtraCondChecker ,A6ExtraCondChecker-(0.0/10.0) CombinationChecker-(0.0/10.0) CondChecker-(10.0/10.0) EvalChecker-(0.0/10.0) ListChecker-(0.0/10.0) ListChecker2-(0.0/10.0) QuoteChecker-(0.0/10.0) , ,
4,Mon Nov 29 14:14:39 EST 2021,14,3,A6BasicOperationSuite,ClassRegistryProvided CondChecker ListChecker+ ListChecker2+ LoadLispChecker MainClassProvided NotChecker TestLispFileProvided VariableArgumentOrChecker , ,A6ExtraCondChecker BasicAndChecker BasicOrChecker CombinationChecker EvalChecker LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 QuoteChecker VariableArgumentAndChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker ProjectStructureOrganizesEvaluators TimesGeneratorChecker ,2,0,true,A6ExtraCondChecker CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 QuoteChecker ,ClassRegistryProvided LoadLispChecker MainClassProvided TestLispFileProvided ,A6ExtraCondChecker ,A6ExtraCondChecker-(0.0/10.0) CombinationChecker-(0.0/10.0) CondChecker-(10.0/10.0) EvalChecker-(0.0/10.0) ListChecker-(10.0/10.0) ListChecker2-(10.0/10.0) QuoteChecker-(0.0/10.0) , ,
4,Mon Nov 29 14:14:39 EST 2021,14,3,A6BasicOperationSuite,ClassRegistryProvided CondChecker ListChecker+ ListChecker2+ LoadLispChecker MainClassProvided NotChecker TestLispFileProvided VariableArgumentOrChecker , ,A6ExtraCondChecker BasicAndChecker BasicOrChecker CombinationChecker EvalChecker LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 QuoteChecker VariableArgumentAndChecker ,A6CommonPropertiesInherited A6CommonSignaturesAreInherited A6Encapsulation A6NoHiddenFields A6NoStarImports A6NonPublicAccessModifiersMatched A6PackageDeclarations A6PublicMethodsOverride BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EnvironmentCallsGetParent EnvironmentCallsPut F21A6NoCheckstyleWarnings FuncallCallsExpressionFactory GreaterChecker GreaterOrEqualChecker IdentifierCallsEnvironmentLookup IdentifierCallsOptionalGet LambdaCallsLambdaFactory LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker ProjectStructureOrganizesEvaluators TimesGeneratorChecker ,2,0,true,A6ExtraCondChecker CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 QuoteChecker ,ClassRegistryProvided LoadLispChecker MainClassProvided TestLispFileProvided ,A6ExtraCondChecker ,A6ExtraCondChecker-(0.0/10.0) CombinationChecker-(0.0/10.0) CondChecker-(10.0/10.0) EvalChecker-(0.0/10.0) ListChecker-(10.0/10.0) ListChecker2-(10.0/10.0) QuoteChecker-(0.0/10.0) , ,
